DBN,School Name,Number of Test Takers,Critical Reading Mean,Mathematics Mean,Writing Mean
20K658,YABC at Franklin D. Roosevelt High School ,33.0,-0.7269520563374449,443.0,0
21K337,International High School at LaFayette ,35.0,-0.8679411249199113,395.0,0
21K344,Rachel Carson High School for Coastal Studies ,66.0,0.31284232445824467,459.0,1
21K348,HIGH SCHOOL OF SPORTS MANAGEMENT ,33.0,-0.6035866213277867,427.0,0
21K400,LAFAYETTE HIGH SCHOOL ,40.0,-1.3614028649585435,367.0,0
21K410,ABRAHAM LINCOLN HIGH SCHOOL ,379.0,-0.32160848416285404,429.0,0
21K412/21K411,YABC AT ABRAHAM LINCOLN HIGH SCHOOL ,54.0,,,0
21K525,EDWARD R MURROW HIGH SCHOOL ,686.0,1.1940240030986595,503.0,1
21K540,JOHN DEWEY HIGH SCHOOL ,349.0,0.1718532558757783,465.0,0
21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUS ,54.0,,,0
21K572,Expeditionary Learning Sch for Community Leaders ,54.0,,,0
21K620,William E. Grady Vocational Technical High School ,56.0,-0.3392321177356623,393.0,0
21K690,BROOKLYN STUDIO SECONDARY SCH ,86.0,0.38333685874947787,419.0,1
21K728,Liberation Diploma Plus High School ,13.0,-0.03963034699792126,351.0,0
22K405,Midwood High School at Brooklyn College ,725.0,1.5641203081276338,543.0,1
22K425,JAMES MADISON HIGH SCHOOL ,641.0,0.7886804309240687,478.0,1
22K495,SHEEPSHEAD BAY HIGH SCHOOL ,192.0,-0.4273502855997038,416.0,0
22K535,LEON M GOLDSTEIN HIGH SCHOOL ,239.0,2.4453019867680488,578.0,1
22K555,Brooklyn College Academy High School ,109.0,0.9649167666521516,460.0,1
23K493,BROOKLYN COLLEGIATE ,37.0,-0.18061941558038763,372.0,0
23K514,Frederick Douglass Academy VII High School ,50.0,0.2071005230213949,396.0,1
23K643,Brooklyn Democracy Academy ,18.0,-1.0089301935023776,371.0,0
23K645,EBC High School for Public Service - East New York ,24.0,-0.497844819890937,358.0,0
23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL ,35.0,-0.973682926356761,329.0,0
23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL ,12.0,-0.3392321177356623,378.0,0
23K697,TEACHERS PREPARATORY SCHOOL ,59.0,-0.14537214843477106,389.0,0
24Q264,ACADEMY OF FINANCE AND ENTERPRISE ,65.0,0.048487820866120225,432.0,1
24Q267,High School of Applied Communication ,67.0,0.1189823551573534,420.0,1
24Q293,Civic Leadership Academy ,54.0,,,0
24Q296,Pan American International High School ,54.0,,,0
24Q299,BARD HIGH SCHOOL EARLY COLLEGE II ,42.0,2.480549253913665,548.0,1
24Q455,NEWTOWN HIGH SCHOOL ,251.0,-0.4449739191725121,427.0,0
24Q485,GROVER CLEVELAND HIGH SCHOOL ,269.0,-0.11012488128915446,431.0,0
24Q520,MIDDLE COLLEGE HIGH SCHOOL ,32.0,-0.32160848416285404,402.0,0
24Q530,INTERNATL HS@LA GUARDIA COMM C ,75.0,-0.8679411249199113,428.0,0
24Q550,HIGH SCHOOL FOR ARTS/BUSINESS ,127.0,-0.7269520563374449,372.0,0
24Q560,ROBERT F WAGNER JR SECONDARY ,49.0,0.27759505731262807,440.0,1
24Q600,Queens Vocational & Tech High School ,130.0,0.1894768894485866,428.0,1
24Q610,Aviation Career & Technical Education High School ,289.0,0.7005622630600272,494.0,1
24Q744,VOYAGES PREPARATORY HIGH SCHOOL ,7.0,0.2071005230213949,413.0,0
25Q252,Queens School of Inquiry ,54.0,,,0
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL ,57.0,-1.3966501321041602,415.0,0
25Q281,EAST WEST SCHOOL OF INTERNATIONAL STUDIE ,50.0,0.5948204616231775,485.0,1
25Q285,WORLD JOURNALISM PREPARATORY SCHOOL ,56.0,0.43620775946790274,425.0,1
25Q425,JOHN BOWNE HIGH SCHOOL ,302.0,-0.23349031629881253,423.0,0
25Q460,FLUSHING HIGH SCHOOL ,278.0,-0.5683393541821702,398.0,0
25Q467,YABC AT FLUSHING HIGH SCHOOL ,54.0,,,0
25Q525,Townsend Harris High School at Queens College ,273.0,4.101923542612028,644.0,1
25Q670,Robert F Kennedy Community High School ,61.0,0.7886804309240687,471.0,1
25Q792,North Queens Community High School ,22.0,0.5243259273319443,422.0,1
26Q415,BENJAMIN CARDOZO HIGH SCHOOL ,697.0,1.4407548731179758,551.0,1
26Q430,FRANCIS LEWIS HIGH SCHOOL ,808.0,0.9296694995065351,530.0,1
26Q435,MARTIN VAN BUREN HIGH SCHOOL ,343.0,-0.03963034699792126,411.0,0
26Q495,BAYSIDE HIGH SCHOOL ,732.0,1.1940240030986595,531.0,1
26Q566,Queens High School-Teaching Liberal Arts Sciences ,144.0,0.5948204616231775,455.0,1
27Q260,FREDERICK DOUGLASS ACADEMY VI ,65.0,-0.19824304915319593,390.0,0
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH ,63.0,0.8944222323609184,423.0,1
27Q302,"Queens High School for Information, Research, and Te ",54.0,,,0
27Q308,Robert H. Goddard High School for Communication Art ,54.0,,,0
27Q309,ACADEMY OF MEDICAL TECHNOLOGY ,54.0,,,0
27Q323,Region Five Scholars' Academy ,54.0,,,0
27Q400,AUGUST MARTIN HIGH SCHOOL ,102.0,-0.4802211863181287,372.0,0
27Q410,BEACH CHANNEL HIGH SCHOOL ,114.0,-0.19824304915319593,390.0,0
27Q465,FAR ROCKAWAY HIGH SCHOOL ,31.0,-0.9560592927839527,369.0,0
27Q475,RICHMOND HILL HIGH SCHOOL ,397.0,-0.4273502855997038,401.0,0
27Q480,JOHN ADAMS HIGH SCHOOL ,302.0,-0.09250124771634616,424.0,1
27Q487/27Q481,YABC AT JOHN ADAMS HIGH SCHOOL ,54.0,,,0
27Q650,"HS for Construction Trades, Engineering and Arch ",87.0,0.2952186908854364,464.0,1
28Q310,Queens Collegiate: A College Board School ,54.0,,,0
28Q338,SATELLITE ACADEMY ,22.0,-1.026553827075186,351.0,0
28Q440,FOREST HILLS HIGH SCHOOL ,627.0,1.1235294688074264,491.0,1
28Q470,JAMAICA HIGH SCHOOL ,153.0,-0.19824304915319593,400.0,0
28Q505,HILLCREST HIGH SCHOOL ,498.0,-0.3392321177356623,400.0,0
28Q620,Thomas Edison Vocational-Technical High School ,529.0,0.8944222323609184,490.0,1
28Q680,Queens Gateway to Health Sciences Secondary Schoo ,89.0,2.128076582457499,532.0,1
28Q687,QUEENS HS FOR SCIENCE YORK COL ,99.0,3.6789563368646294,650.0,1
28Q690,High School For Law Enforcement And Public Safety ,62.0,0.06611145443892852,429.0,1
28Q896,Young Women's Leadership High School ,54.0,,,0
29Q248,QUEENS PREPARATORY ACADEMY ,46.0,-0.5683393541821702,388.0,0
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL ,42.0,0.030864187293311925,415.0,0
29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL ,55.0,-0.18061941558038763,358.0,0
29Q272,GEORGE WASHINGTON CARVER HS ,68.0,0.3657132251766696,435.0,1
29Q283,PREPARATORY ACADEMY FOR WRITERS ,18.0,0.15422962230297,402.0,0
29Q420,Springfield Gardens High School ,20.0,0.43620775946790274,402.0,1
29Q492,MATH SCIENCE RESEARCH TECH MAG ,59.0,0.013240553720503628,430.0,1
29Q494,LAW GOVERNMENT SERVICE MAGNET ,60.0,0.030864187293311925,412.0,0
29Q496,BUSINESS COMPUTER APPLICATION ,52.0,-0.28636121701723743,389.0,0
29Q498,Humanities and Arts Magnet High School ,45.0,-0.3744793848812789,371.0,0
30Q301,Academy for Careers in Television and Film ,54.0,,,0
30Q445,WILLIAM C BRYANT HIGH SCHOOL ,322.0,0.013240553720503628,456.0,1
30Q450,LONG ISLAND CITY HIGH SCHOOL ,296.0,0.2423477901670115,434.0,1
30Q501,Frank Sinatra School of the Arts ,153.0,1.7932275445741417,495.0,1
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL ,140.0,0.630067728768794,452.0,1
30Q555,NEWCOMERS HIGH SCHOOL ,147.0,-1.0794247277936109,447.0,0
30Q575,ACADEMY OF AMERICAN STUDIES ,120.0,1.7227330102829084,505.0,1
30Q580,BACCALAUREATE SCH GLOBAL EDUC ,64.0,2.7449037575057895,587.0,1
31R064,Gaynor McCown Expeditionary Learning School ,54.0,,,0
31R080,MICHAEL J PETRIDES SCHOOL ,86.0,1.8284748117197582,523.0,1
31R440,NEW DORP HIGH SCHOOL ,282.0,0.47145502661351935,446.0,1
31R445,PORT RICHMOND HIGH SCHOOL ,237.0,0.5771968280503691,442.0,1
31R450,CURTIS HIGH SCHOOL ,373.0,0.6124440951959857,441.0,1
31R455,TOTTENVILLE HIGH SCHOOL ,698.0,0.9649167666521516,482.0,1
31R460,SUSAN E WAGNER HIGH SCHOOL ,531.0,1.035411300943385,482.0,1
31R470,CONCORD HIGH SCHOOL ,10.0,1.229271270244276,431.0,0
31R600,RALPH MCKEE VOC-TECH HIGH SCH ,48.0,0.1189823551573534,429.0,0
31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL ,287.0,4.119547176184837,673.0,1
32K403,ACADEMY OF ENVIRONMENTAL LEADERSHIP ,36.0,-0.39210301845408724,369.0,0
32K480,Bushwick High School ,54.0,,,0
32K545,EBC High School for Public Service - Bushwick ,82.0,-0.2687375834444291,390.0,0
32K549,BUSHWICK HS FOR SOCIAL JUSTICE ,72.0,-0.7269520563374449,364.0,0
32K552,Academy of Urban Planning ,49.0,-0.8679411249199113,361.0,0
32K554,ALL CITY LEADERSHIP SECONDARY ,29.0,-0.18061941558038763,420.0,0
32K556,Bushwick Leaders High School for Academic Excel ,30.0,-0.8326938577742946,345.0,0
72X470,South Bronx High School ,54.0,,,0
75K371,LILLIAN L RASHKIS HS P371K ,54.0,,,0
75M035,MANHATTAN HIGH SCHOOL - P35M ,54.0,,,0
75Q004,P4Q SCHOOL (@ 179) ,54.0,,,0
75Q256,P256 QUEENS SCHOOL @ SAINT MARY'S ,54.0,,,0
75R025,South Richmond High School ,10.0,0.048487820866120225,421.0,0
75X012,PS12X LEWIS AND CLARK SCHOOL ,54.0,,,0
75X754,P754 X - Jeffrey M. Rapport School for Career Devt ,54.0,,,0
76K460,John Jay High School ,9.0,-0.25111394987162083,381.0,0
79X490,PHOENIX SCHOOL ,7.0,-0.00438307985230467,423.0,1
